ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Table_Name,Column_Name
8FED3FA0-B4BE-BAA6-959E-86D235191F5A,134,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,DIM_CHASSIS,CHASSIS_ID,
448E74FF-9E26-B5BD-F916-E5DDCEB0B25B,143,2442F951-6B65-9607-CF72-8013B4C6E38B,116,DIM_COUNTRY,COUNTRY_ID,
459B593A-E9DD-2FE5-28FE-6583C1466D37,149,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,DIM_DAY,DAY_ID,
90829735-9621-A18C-D84D-BEFF06F0025E,159,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,DIM_DRIVER,DRIVER_ID,
38EA0E9F-0DC0-505E-27E7-E6D033E10270,163,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,DIM_ENGINE,ENGINE_ID,
1C89BF47-9E04-7554-E672-090C16E297F0,170,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,DIM_GRAND_PRIX,GRAND_PRIX_ID,
EFAB4876-41F4-C106-B19E-A603CD501148,203,CF63D479-C754-03CB-A268-814AFF768BF6,121,DIM_POSITION_ATTRIBUTES,POSITION_ATTRIBUTES_ID,
49305134-2054-9E80-987A-11BBC78BCA21,207,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,DIM_RACE_ATTRIBUTES,RACE_ATTRIBUTES_ID,
30DAF45A-9714-6442-E4B7-DF067D4AC227,219,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,DIM_SEASON,SEASON_ID,
5F8C289F-EC07-0F22-9A46-21F747C76975,223,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,DIM_TEAM,TEAM_ID,
0822BEC0-E7B5-68EC-2AAD-2BF730A869C1,227,726CE839-6848-A7D0-8E54-2C6362C72643,125,DIM_TRACK,TRACK_ID,
64069F0F-1E54-A728-74E7-55CE427FAF05,231,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,DIM_TYRES,TYRES_ID,
